Approval,Date,Value,Variable,date
Approve,21/12/2011,0.26,All Adults,21/12/2011
Disapprove,22/12/2011,0.59,All Adults,22/12/2011
Don't know,23/12/2011,0.15,All Adults,23/12/2011
Approve,24/12/2011,0.25,All Adults,24/12/2011
Disapprove,25/12/2011,0.59,All Adults,25/12/2011
Don't know,26/12/2011,0.15,All Adults,26/12/2011
Approve,27/12/2011,0.25,All Adults,27/12/2011
Disapprove,28/12/2011,0.6,All Adults,28/12/2011
Don't know,29/12/2011,0.15,All Adults,29/12/2011
Approve,30/12/2011,0.24,All Adults,30/12/2011
Disapprove,31/12/2011,0.6,All Adults,31/12/2011
Don't know,01/01/2012,0.16,All Adults,01/01/2012
Approve,02/01/2012,0.24,All Adults,02/01/2012
Disapprove,03/01/2012,0.62,All Adults,03/01/2012
Don't know,04/01/2012,0.14,All Adults,04/01/2012
Approve,05/01/2012,0.24,All Adults,05/01/2012
Disapprove,06/01/2012,0.6,All Adults,06/01/2012
Don't know,07/01/2012,0.16,All Adults,07/01/2012
Approve,08/01/2012,0.24,All Adults,08/01/2012
Disapprove,09/01/2012,0.6,All Adults,09/01/2012
Don't know,10/01/2012,0.15,All Adults,10/01/2012
Approve,11/01/2012,0.25,All Adults,11/01/2012
Disapprove,12/01/2012,0.59,All Adults,12/01/2012
Don't know,13/01/2012,0.16,All Adults,13/01/2012
Approve,14/01/2012,0.26,All Adults,14/01/2012
Disapprove,15/01/2012,0.6,All Adults,15/01/2012
Don't know,16/01/2012,0.14,All Adults,16/01/2012
Approve,17/01/2012,0.27,All Adults,17/01/2012
Disapprove,18/01/2012,0.58,All Adults,18/01/2012
Don't know,19/01/2012,0.15,All Adults,19/01/2012
Approve,20/01/2012,0.27,All Adults,20/01/2012
Disapprove,21/01/2012,0.57,All Adults,21/01/2012
Don't know,22/01/2012,0.15,All Adults,22/01/2012
Approve,23/01/2012,0.27,All Adults,23/01/2012
Disapprove,24/01/2012,0.58,All Adults,24/01/2012
Don't know,25/01/2012,0.15,All Adults,25/01/2012
Approve,26/01/2012,0.25,All Adults,26/01/2012
Disapprove,27/01/2012,0.6,All Adults,27/01/2012
Don't know,28/01/2012,0.15,All Adults,28/01/2012
Approve,29/01/2012,0.25,All Adults,29/01/2012
Disapprove,30/01/2012,0.59,All Adults,30/01/2012
Don't know,31/01/2012,0.16,All Adults,31/01/2012
Approve,01/02/2012,0.24,All Adults,01/02/2012
Disapprove,02/02/2012,0.61,All Adults,02/02/2012
Don't know,03/02/2012,0.15,All Adults,03/02/2012
Approve,04/02/2012,0.25,All Adults,04/02/2012
Disapprove,05/02/2012,0.6,All Adults,05/02/2012
Don't know,06/02/2012,0.15,All Adults,06/02/2012
Approve,07/02/2012,0.25,All Adults,07/02/2012
Disapprove,08/02/2012,0.6,All Adults,08/02/2012
Don't know,09/02/2012,0.15,All Adults,09/02/2012
Approve,10/02/2012,0.25,All Adults,10/02/2012
Disapprove,11/02/2012,0.59,All Adults,11/02/2012
Don't know,12/02/2012,0.16,All Adults,12/02/2012
Approve,13/02/2012,0.25,All Adults,13/02/2012
Disapprove,14/02/2012,0.59,All Adults,14/02/2012
Don't know,15/02/2012,0.15,All Adults,15/02/2012
Approve,16/02/2012,0.26,All Adults,16/02/2012
Disapprove,17/02/2012,0.58,All Adults,17/02/2012
Don't know,18/02/2012,0.16,All Adults,18/02/2012
Approve,19/02/2012,0.26,All Adults,19/02/2012
Disapprove,20/02/2012,0.58,All Adults,20/02/2012
Don't know,21/02/2012,0.16,All Adults,21/02/2012
Approve,22/02/2012,0.27,All Adults,22/02/2012
Disapprove,23/02/2012,0.58,All Adults,23/02/2012
Don't know,24/02/2012,0.15,All Adults,24/02/2012
Approve,25/02/2012,0.27,All Adults,25/02/2012
Disapprove,26/02/2012,0.57,All Adults,26/02/2012
Don't know,27/02/2012,0.16,All Adults,27/02/2012
Approve,28/02/2012,0.28,All Adults,28/02/2012
Disapprove,29/02/2012,0.57,All Adults,29/02/2012
Don't know,01/03/2012,0.15,All Adults,01/03/2012
Approve,02/03/2012,0.29,All Adults,02/03/2012
Disapprove,03/03/2012,0.57,All Adults,03/03/2012
Don't know,04/03/2012,0.15,All Adults,04/03/2012
Approve,05/03/2012,0.28,All Adults,05/03/2012
Disapprove,06/03/2012,0.56,All Adults,06/03/2012
Don't know,07/03/2012,0.16,All Adults,07/03/2012
Approve,08/03/2012,0.28,All Adults,08/03/2012
Disapprove,09/03/2012,0.56,All Adults,09/03/2012
Don't know,10/03/2012,0.16,All Adults,10/03/2012
Approve,11/03/2012,0.28,All Adults,11/03/2012
Disapprove,12/03/2012,0.57,All Adults,12/03/2012
Don't know,13/03/2012,0.15,All Adults,13/03/2012
Approve,14/03/2012,0.28,All Adults,14/03/2012
Disapprove,15/03/2012,0.57,All Adults,15/03/2012
Don't know,16/03/2012,0.15,All Adults,16/03/2012
Approve,17/03/2012,0.28,All Adults,17/03/2012
Disapprove,18/03/2012,0.56,All Adults,18/03/2012
Don't know,19/03/2012,0.15,All Adults,19/03/2012
Approve,20/03/2012,0.28,All Adults,20/03/2012
Disapprove,21/03/2012,0.57,All Adults,21/03/2012
Don't know,22/03/2012,0.16,All Adults,22/03/2012
Approve,23/03/2012,0.3,All Adults,23/03/2012
Disapprove,24/03/2012,0.54,All Adults,24/03/2012
Don't know,25/03/2012,0.15,All Adults,25/03/2012
Approve,26/03/2012,0.29,All Adults,26/03/2012
Disapprove,27/03/2012,0.57,All Adults,27/03/2012
Don't know,28/03/2012,0.14,All Adults,28/03/2012
Approve,29/03/2012,0.3,All Adults,29/03/2012
Disapprove,30/03/2012,0.55,All Adults,30/03/2012
Don't know,31/03/2012,0.15,All Adults,31/03/2012
Approve,01/04/2012,0.32,All Adults,01/04/2012
Disapprove,02/04/2012,0.54,All Adults,02/04/2012
Don't know,03/04/2012,0.14,All Adults,03/04/2012
Approve,04/04/2012,0.31,All Adults,04/04/2012
Disapprove,05/04/2012,0.54,All Adults,05/04/2012
Don't know,06/04/2012,0.15,All Adults,06/04/2012
Approve,07/04/2012,0.29,All Adults,07/04/2012
Disapprove,08/04/2012,0.57,All Adults,08/04/2012
Don't know,09/04/2012,0.14,All Adults,09/04/2012
Approve,10/04/2012,0.28,All Adults,10/04/2012
Disapprove,11/04/2012,0.57,All Adults,11/04/2012
Don't know,12/04/2012,0.15,All Adults,12/04/2012
Approve,13/04/2012,0.28,All Adults,13/04/2012
Disapprove,14/04/2012,0.55,All Adults,14/04/2012
Don't know,15/04/2012,0.16,All Adults,15/04/2012
Approve,16/04/2012,0.28,All Adults,16/04/2012
Disapprove,17/04/2012,0.57,All Adults,17/04/2012
Don't know,18/04/2012,0.15,All Adults,18/04/2012
Approve,19/04/2012,0.29,All Adults,19/04/2012
Disapprove,20/04/2012,0.56,All Adults,20/04/2012
Don't know,21/04/2012,0.15,All Adults,21/04/2012
Approve,22/04/2012,0.29,All Adults,22/04/2012
Disapprove,23/04/2012,0.56,All Adults,23/04/2012
Don't know,24/04/2012,0.15,All Adults,24/04/2012
Approve,25/04/2012,0.28,All Adults,25/04/2012
Disapprove,26/04/2012,0.56,All Adults,26/04/2012
Don't know,27/04/2012,0.16,All Adults,27/04/2012
Approve,28/04/2012,0.29,All Adults,28/04/2012
Disapprove,29/04/2012,0.55,All Adults,29/04/2012
Don't know,30/04/2012,0.16,All Adults,30/04/2012
Approve,01/05/2012,0.32,All Adults,01/05/2012
Disapprove,02/05/2012,0.53,All Adults,02/05/2012
Don't know,03/05/2012,0.15,All Adults,03/05/2012
Approve,04/05/2012,0.3,All Adults,04/05/2012
Disapprove,05/05/2012,0.55,All Adults,05/05/2012
Don't know,06/05/2012,0.15,All Adults,06/05/2012
Approve,07/05/2012,0.29,All Adults,07/05/2012
Disapprove,08/05/2012,0.56,All Adults,08/05/2012
Don't know,09/05/2012,0.15,All Adults,09/05/2012
Approve,10/05/2012,0.29,All Adults,10/05/2012
Disapprove,11/05/2012,0.55,All Adults,11/05/2012
Don't know,12/05/2012,0.16,All Adults,12/05/2012
Approve,13/05/2012,0.29,All Adults,13/05/2012
Disapprove,14/05/2012,0.56,All Adults,14/05/2012
Don't know,15/05/2012,0.15,All Adults,15/05/2012
Approve,16/05/2012,0.31,All Adults,16/05/2012
Disapprove,17/05/2012,0.53,All Adults,17/05/2012
Don't know,18/05/2012,0.15,All Adults,18/05/2012
Approve,19/05/2012,0.32,All Adults,19/05/2012
Disapprove,20/05/2012,0.53,All Adults,20/05/2012
Don't know,21/05/2012,0.15,All Adults,21/05/2012
Approve,22/05/2012,0.3,All Adults,22/05/2012
Disapprove,23/05/2012,0.55,All Adults,23/05/2012
Don't know,24/05/2012,0.15,All Adults,24/05/2012
Approve,25/05/2012,0.3,All Adults,25/05/2012
Disapprove,26/05/2012,0.55,All Adults,26/05/2012
Don't know,27/05/2012,0.15,All Adults,27/05/2012
Approve,28/05/2012,0.31,All Adults,28/05/2012
Disapprove,29/05/2012,0.56,All Adults,29/05/2012
Don't know,30/05/2012,0.13,All Adults,30/05/2012
Approve,31/05/2012,0.32,All Adults,31/05/2012
Disapprove,01/06/2012,0.55,All Adults,01/06/2012
Don't know,02/06/2012,0.14,All Adults,02/06/2012
Approve,03/06/2012,0.31,All Adults,03/06/2012
Disapprove,04/06/2012,0.54,All Adults,04/06/2012
Don't know,05/06/2012,0.15,All Adults,05/06/2012
Approve,06/06/2012,0.31,All Adults,06/06/2012
Disapprove,07/06/2012,0.54,All Adults,07/06/2012
Don't know,08/06/2012,0.15,All Adults,08/06/2012
Approve,09/06/2012,0.34,All Adults,09/06/2012
Disapprove,10/06/2012,0.51,All Adults,10/06/2012
Don't know,11/06/2012,0.15,All Adults,11/06/2012
Approve,12/06/2012,0.33,All Adults,12/06/2012
Disapprove,13/06/2012,0.53,All Adults,13/06/2012
Don't know,14/06/2012,0.15,All Adults,14/06/2012
Approve,15/06/2012,0.32,All Adults,15/06/2012
Disapprove,16/06/2012,0.53,All Adults,16/06/2012
Don't know,17/06/2012,0.15,All Adults,17/06/2012
Approve,18/06/2012,0.32,All Adults,18/06/2012
Disapprove,19/06/2012,0.53,All Adults,19/06/2012
